
=======================================================
 Method: FEDAVG  |  Dataset: CICMALDROID
 Tasks: 5  |  Rounds/task: 25  |  Clients: 10
 DP: OFF
=======================================================
 Device: cpu
[CICMalDroid] 5385 samples, 200 features
[CICMalDroid] Benign=1795, Malware=3590
[CICMalDroid] Class dist: {1: 479, 2: 781, 3: 1405, 4: 925, 5: 1795}  (1=Adware 2=Banking 3=SMS 4=Riskware 5=Benign)
[Data] Strategy: category-aware temporal split + client specialization
  Task 0 (dom=Adware): 870 samples | Mal=511 Ben=359
  Task 1 (dom=Banking): 1131 samples | Mal=772 Ben=359
  Task 2 (dom=SMS): 1678 samples | Mal=1319 Ben=359
  Task 3 (dom=Riskware): 1258 samples | Mal=899 Ben=359
  Task 4 (dom=Adware): 448 samples | Mal=89 Ben=359
[Data] 5 tasks x 10 clients ready.

───────────────────────────────────────────────────────
 TASK 0  (25 rounds)
───────────────────────────────────────────────────────
  Client 02 | round= 11 | stage=STABLE     | score=0.000 | loss=0.6340 | acc=0.537 ✓
  Client 03 | round= 11 | stage=STABLE     | score=0.000 | loss=0.6824 | acc=0.488 ✓
  Client 04 | round= 11 | stage=REPLAY     | score=0.550 | loss=0.6152 | acc=0.651 ✓
  Client 05 | round= 11 | stage=STABLE     | score=0.000 | loss=0.6233 | acc=0.674 ✓
  Client 06 | round= 11 | stage=REPLAY     | score=0.860 | loss=0.6485 | acc=0.595 ✓
  Client 07 | round= 11 | stage=STABLE     | score=0.000 | loss=0.5995 | acc=0.667 ✓
  Client 08 | round= 11 | stage=REPLAY     | score=0.366 | loss=0.6462 | acc=0.641 ✓
  Client 09 | round= 11 | stage=STABLE     | score=0.000 | loss=0.5935 | acc=0.719 ✓
[Server] Round 11: active=10/10 | τ=0.800 | avg_score=0.201 | avg_acc=0.649
  Client 00 | round= 12 | stage=REPLAY     | score=0.440 | loss=0.5943 | acc=0.812 ✓
  Client 01 | round= 12 | stage=REPLAY     | score=0.660 | loss=0.5314 | acc=0.797 ✓
  Client 02 | round= 12 | stage=STABLE     | score=0.000 | loss=0.6848 | acc=0.585 ✓
  Client 03 | round= 12 | stage=STABLE     | score=0.031 | loss=0.7525 | acc=0.512 ✓
  Client 04 | round= 12 | stage=REPLAY     | score=0.354 | loss=0.5966 | acc=0.605 ✓
  Client 05 | round= 12 | stage=STABLE     | score=0.126 | loss=0.6519 | acc=0.512 ✓
  Client 06 | round= 12 | stage=REPLAY     | score=0.376 | loss=0.6340 | acc=0.619 ✓
  Client 07 | round= 12 | stage=STABLE     | score=0.000 | loss=0.5990 | acc=0.643 ✓
  Client 08 | round= 12 | stage=STABLE     | score=0.000 | loss=0.5867 | acc=0.703 ✓
  Client 09 | round= 12 | stage=STABLE     | score=0.090 | loss=0.5763 | acc=0.750 ✓
[Server] Round 12: active=10/10 | τ=0.800 | avg_score=0.208 | avg_acc=0.654
  Client 00 | round= 13 | stage=STABLE     | score=0.000 | loss=0.6137 | acc=0.625 ✓
  Client 01 | round= 13 | stage=STABLE     | score=0.029 | loss=0.5119 | acc=0.828 ✓
  Client 02 | round= 13 | stage=REPLAY     | score=0.388 | loss=0.6480 | acc=0.561 ✓
  Client 03 | round= 13 | stage=STABLE     | score=0.150 | loss=0.6648 | acc=0.537 ✓
  Client 04 | round= 13 | stage=STABLE     | score=0.000 | loss=0.6123 | acc=0.674 ✓
  Client 05 | round= 13 | stage=STABLE     | score=0.105 | loss=0.6339 | acc=0.581 ✓
  Client 06 | round= 13 | stage=STABLE     | score=0.000 | loss=0.6672 | acc=0.619 ✓
  Client 07 | round= 13 | stage=STABLE     | score=0.000 | loss=0.5904 | acc=0.690 ✓
  Client 08 | round= 13 | stage=STABLE     | score=0.045 | loss=0.6268 | acc=0.672 ✓
  Client 09 | round= 13 | stage=REPLAY     | score=0.643 | loss=0.5811 | acc=0.750 ✓
[Server] Round 13: active=10/10 | τ=0.800 | avg_score=0.136 | avg_acc=0.654
  Client 00 | round= 14 | stage=STABLE     | score=0.000 | loss=0.5780 | acc=0.812 ✓
  Client 01 | round= 14 | stage=STABLE     | score=0.000 | loss=0.4818 | acc=0.859 ✓
  Client 02 | round= 14 | stage=STABLE     | score=0.000 | loss=0.7015 | acc=0.585 ✓
  Client 03 | round= 14 | stage=REPLAY     | score=0.500 | loss=0.6802 | acc=0.610 ✓
  Client 04 | round= 14 | stage=STABLE     | score=0.052 | loss=0.5873 | acc=0.674 ✓
  Client 05 | round= 14 | stage=REPLAY     | score=0.369 | loss=0.5998 | acc=0.605 ✓
  Client 06 | round= 14 | stage=STABLE     | score=0.000 | loss=0.6932 | acc=0.524 ✓
  Client 07 | round= 14 | stage=REPLAY     | score=0.469 | loss=0.6041 | acc=0.667 ✓
  Client 08 | round= 14 | stage=STABLE     | score=0.000 | loss=0.5810 | acc=0.719 ✓
  Client 09 | round= 14 | stage=STABLE     | score=0.000 | loss=0.6568 | acc=0.609 ✓
[Server] Round 14: active=10/10 | τ=0.800 | avg_score=0.139 | avg_acc=0.666
  Client 00 | round= 15 | stage=STABLE     | score=0.000 | loss=0.5667 | acc=0.797 ✓
  Client 01 | round= 15 | stage=STABLE     | score=0.000 | loss=0.4864 | acc=0.828 ✓
  Client 02 | round= 15 | stage=STABLE     | score=0.000 | loss=0.5910 | acc=0.683 ✓
